net,length_um
u_viterbi_core.pm_curr_s1\[1\],48.3
_1095_,48.28
u_viterbi_core.pm_curr_s3\[2\],48.26
u_viterbi_core.pm_curr_s0\[4\],47.82
u_viterbi_core.pm_curr_s0\[2\],47.46
_1212_,47.38
u_viterbi_core.pm_curr_s1\[6\],47.23
_1533_,46.44
_1115_,46.06
u_input_fifo.rd_data_o\[14\],45.9
u_viterbi_core.pm_curr_s0\[5\],45.76
_0974_,45.46
_0884_,45.215
clknet_leaf_30_clk,45.12
net34,44.84
u_viterbi_core.pm_curr_s1\[2\],44.605
_1196_,44.14
_0878_,44.1
_0969_,44.02
_1303_,43.96
_1323_,43.96
u_input_fifo.rd_data_o\[15\],43.46
_1331_,42.9
_1057_,42.56
u_viterbi_core.pm_curr_s3\[6\],42.11
_1389_,42.08
u_viterbi_core.pm_curr_s3\[3\],41.91
_1341_,41.58
_1417_,41.22
_1272_,40.7
u_input_fifo.rd_ptr\[2\],40.36
u_viterbi_core.pm_curr_s2\[4\],40.01
_0770_,40
u_input_fifo.count\[1\],39.66
_1222_,39.26
u_input_fifo.rd_en_i,37.9
_0810_,37.8
_0640_,37.5
u_viterbi_core.pm_curr_s3\[7\],37.21
_1379_,36.92
_0794_,36.8
_0903_,36.46
net54,36.46
_0886_,36.38
_0901_,36.14
u_viterbi_core.pm_curr_s0\[6\],35.9
u_piso.data_serial_o\[1\],35.86
u_viterbi_core.pm_curr_s2\[7\],35.71
_1531_,35.46
u_input_fifo.rd_data_o\[0\],35.44
_1213_,34.96
_0643_,34.9
_1128_,34.76
u_piso.shift_reg\[9\],34.54
_1416_,34.52
_1480_,34.46
u_viterbi_core.pm_curr_s2\[1\],34.36
_0807_,34.24
_1354_,34.12
_1020_,34.08
_1269_,33.92
u_viterbi_core.pm_curr_s2\[6\],33.77
_1096_,33.68
_1278_,33.46
_0653_,33.24
_1266_,33.16
u_input_fifo.wr_ptr\[1\],33.16
_1114_,33.06
net32,33.04
_0661_,32.94
_1131_,32.78
u_viterbi_core.pm_curr_s0\[3\],32.78
u_viterbi_core.u_tbu.history_s2\[11\],32.74
net362,32.68
_1000_,32.54
_0909_,32.5
_1005_,32.38
u_input_fifo.rd_ptr\[3\],32.38
_1532_,32
u_viterbi_core.u_tbu.history_s2\[13\],31.58
_1120_,31.44
_0859_,31.42
_1587_,31.24
_1164_,30.92
u_input_fifo.mem\[2\]\[11\],30.44
_1265_,30.33
_1010_,30.325
_0989_,29.86
u_input_fifo.count\[0\],29.8
_1018_,29.76
_1125_,29.66
_0843_,29.52
u_input_fifo.count\[4\],29.48
_1011_,29.46
u_input_fifo.count\[2\],29.29
_0650_,29.22
u_piso.data_serial_o\[0\],29.11
u_viterbi_core.u_tbu.history_s1\[7\],28.9
u_viterbi_core.u_tbu.history_s0\[9\],28.8
u_input_fifo.mem\[4\]\[15\],28.48
_1522_,28.44
_1395_,28.4
u_input_fifo.rd_data_o\[3\],28.38
u_viterbi_core.pm_curr_s1\[0\],28.23
u_viterbi_core.pm_curr_s1\[3\],28.11
_1073_,28.04
u_viterbi_core.u_tbu.history_s3\[6\],28.02
_0692_,27.82
_0857_,27.77
_1397_,27.74
_0649_,27.7
u_piso.state\[1\],27.52
u_viterbi_core.u_tbu.history_s2\[12\],27.5
u_piso.shift_reg\[11\],27.38
u_input_fifo.mem\[12\]\[14\],27.28
_1433_,26.88
_0830_,26.76
u_piso.shift_reg\[10\],26.68
_1218_,26.56
_1242_,26.4
u_viterbi_core.u_tbu.history_s0\[11\],26.36
_1410_,26.28
_0809_,26.14
u_viterbi_core.pm_curr_s3\[1\],26.075
_1333_,25.92
u_input_fifo.rd_data_o\[2\],25.84
u_input_fifo.wr_ptr\[0\],25.64
u_viterbi_core.u_tbu.history_s2\[2\],25.62
_1259_,25.6
_0746_,25.48
_1264_,25.44
_0481_,25.34
u_sipo.count\[0\],25.3
u_viterbi_core.u_tbu.history_s2\[9\],25.26
_0973_,25.245
_1071_,25.22
u_viterbi_core.u_tbu.history_s1\[5\],25.14
_1139_,25
_0760_,24.92
_1291_,24.74
u_input_fifo.mem\[7\]\[3\],24.56
u_input_fifo.rd_data_o\[1\],24.52
_1373_,24.46
clknet_leaf_20_clk,24.38
_1345_,24.26
u_piso.state\[0\],24.22
u_viterbi_core.u_tbu.history_s1\[12\],24.22
u_viterbi_core.u_tbu.history_s2\[10\],24.22
net38,24.16
_1019_,24.125
_1109_,24.05
_0676_,23.96
_0716_,23.84
_1117_,23.84
_1215_,23.84
_0840_,23.66
_0719_,23.6
u_viterbi_core.u_tbu.history_s0\[13\],23.5
_0979_,23.46
