net,length_um
data_i[3],8.39
data_i[9],8.39
_0426_,8.36
u_input_fifo.mem\[0\]\[11\],8.36
_1452_,8.34
u_input_fifo.mem\[3\]\[12\],8.325
u_input_fifo.mem\[6\]\[8\],8.32
_0763_,8.3
_0380_,8.26
net327,8.26
u_input_fifo.mem\[4\]\[8\],8.24
u_input_fifo.mem\[7\]\[11\],8.22
net37,8.22
u_input_fifo.mem\[2\]\[5\],8.2
_0354_,8.16
_0355_,8.16
_0815_,8.16
_1188_,8.16
_1382_,8.16
_0029_,8.145
_0769_,8.14
_1299_,8.14
_1387_,8.14
u_input_fifo.mem\[13\]\[13\],8.12
u_input_fifo.mem\[2\]\[3\],8.12
u_input_fifo.mem\[2\]\[8\],8.12
u_input_fifo.mem\[3\]\[10\],8.12
u_input_fifo.mem\[4\]\[6\],8.12
_0306_,8.1
_1148_,8.1
u_input_fifo.mem\[0\]\[10\],8.1
u_input_fifo.mem\[7\]\[15\],8.1
u_input_fifo.mem\[15\]\[0\],8.08
u_input_fifo.mem\[8\]\[10\],8.08
u_viterbi_core.pm_curr_s2\[2\],8.07
data_i[12],8.05
_0715_,8.04
busy_o,8.04
net31,8.02
u_input_fifo.mem\[13\]\[10\],7.985
_0468_,7.98
_1248_,7.98
_1403_,7.94
u_input_fifo.mem\[14\]\[7\],7.905
_1276_,7.9
u_input_fifo.mem\[9\]\[9\],7.885
_0720_,7.88
_1133_,7.88
_1137_,7.88
_1306_,7.86
u_input_fifo.mem\[15\]\[9\],7.86
net119,7.86
net143,7.86
_0301_,7.845
_1258_,7.8
_0839_,7.78
_0850_,7.78
_1257_,7.76
u_input_fifo.mem\[12\]\[0\],7.74
u_input_fifo.mem\[7\]\[12\],7.74
u_input_fifo.mem\[9\]\[13\],7.74
net220,7.74
u_input_fifo.mem\[13\]\[1\],7.735
data_i[10],7.71
data_i[7],7.71
data_i[8],7.71
_0252_,7.7
_0790_,7.68
_1378_,7.68
u_input_fifo.mem\[2\]\[6\],7.68
u_input_fifo.mem\[12\]\[10\],7.67
_0916_,7.66
_1325_,7.66
net299,7.66
_0469_,7.64
_0592_,7.64
_0743_,7.64
_1580_,7.64
_1600_,7.64
u_input_fifo.mem\[10\]\[1\],7.64
net306,7.64
_0953_,7.6
_1180_,7.6
_1504_,7.6
_1263_,7.58
_0116_,7.56
_0539_,7.56
_0701_,7.56
_1556_,7.56
_0453_,7.52
_1093_,7.52
_1385_,7.52
u_input_fifo.mem\[3\]\[5\],7.52
_1102_,7.5
_0477_,7.48
u_input_fifo.mem\[3\]\[7\],7.46
_1363_,7.42
u_input_fifo.mem\[13\]\[4\],7.4
_0223_,7.385
net225,7.36
u_input_fifo.mem\[13\]\[5\],7.35
_0240_,7.34
u_input_fifo.mem\[7\]\[4\],7.325
_0963_,7.32
_1317_,7.32
u_input_fifo.mem\[6\]\[4\],7.32
u_input_fifo.mem\[11\]\[5\],7.28
u_input_fifo.mem\[14\]\[0\],7.28
u_sipo.valid_serial_i,7.28
_0817_,7.24
_0852_,7.24
_0699_,7.22
_0945_,7.22
u_input_fifo.mem\[9\]\[7\],7.22
net97,7.22
net192,7.22
u_input_fifo.mem\[2\]\[7\],7.2
_0728_,7.18
_0768_,7.18
_1461_,7.18
u_input_fifo.mem\[2\]\[2\],7.16
_1124_,7.155
_0115_,7.145
_0836_,7.12
_1475_,7.12
_0056_,7.105
_1079_,7.1
_1487_,7.1
_1498_,7.1
net106,7.1
_1324_,7.08
_1411_,7.08
u_input_fifo.mem\[6\]\[11\],7.08
u_input_fifo.mem\[6\]\[9\],7.08
_0417_,7.06
_0438_,7.06
_0522_,7.06
_1494_,7.06
u_input_fifo.mem\[0\]\[14\],7.06
u_input_fifo.mem\[3\]\[9\],7.06
u_input_fifo.mem\[9\]\[1\],7.06
_0399_,7.04
_0215_,7
_1360_,7
net274,7
net287,7
_0538_,6.98
u_input_fifo.mem\[0\]\[5\],6.98
u_piso.shift_reg\[5\],6.98
_0526_,6.96
_0744_,6.94
_0907_,6.915
_0245_,6.88
_1413_,6.88
net92,6.88
_1482_,6.86
u_input_fifo.mem\[0\]\[15\],6.86
u_input_fifo.mem\[0\]\[3\],6.86
u_input_fifo.mem\[12\]\[4\],6.86
u_input_fifo.mem\[13\]\[9\],6.86
u_input_fifo.mem\[8\]\[15\],6.86
u_input_fifo.mem\[12\]\[9\],6.84
net163,6.84
_0129_,6.825
u_input_fifo.mem\[3\]\[8\],6.82
_0096_,6.805
_0479_,6.76
_0682_,6.76
_0797_,6.76
_1051_,6.76
_1132_,6.76
_1497_,6.76
_1513_,6.76
u_input_fifo.mem\[0\]\[6\],6.76
net217,6.76
_0981_,6.74
_1008_,6.74
_1340_,6.74
u_input_fifo.rd_data_o\[10\],6.74
_0627_,6.72
_0800_,6.72
net260,6.72
_0195_,6.705
u_input_fifo.mem\[6\]\[15\],6.7
_0119_,6.685
data_o[1],6.67
data_o[6],6.67
_0847_,6.66
_1335_,6.66
_1361_,6.66
u_input_fifo.mem\[14\]\[5\],6.66
_0317_,6.645
_0420_,6.64
_0421_,6.64
_0432_,6.64
_0441_,6.64
_0605_,6.64
_0795_,6.64
_0802_,6.64
_0811_,6.64
_1123_,6.64
_1316_,6.64
_1500_,6.64
net317,6.64
_1455_,6.62
u_input_fifo.mem\[9\]\[14\],6.62
u_input_fifo.mem\[13\]\[3\],6.615
_0506_,6.6
_0871_,6.6
_0958_,6.6
_1041_,6.6
_1142_,6.6
_1156_,6.6
_1366_,6.6
_1473_,6.6
_1477_,6.6
_1550_,6.6
u_input_fifo.mem\[12\]\[13\],6.6
net141,6.6
net270,6.6
_0560_,6.52
_0885_,6.52
_1086_,6.52
_1235_,6.52
u_viterbi_core.pm_curr_s3\[0\],6.51
net111,6.5
net295,6.5
net302,6.5
u_input_fifo.mem\[10\]\[8\],6.46
rst_n,6.45
net99,6.44
_0806_,6.4
_0887_,6.4
_1401_,6.4
u_input_fifo.mem\[6\]\[1\],6.4
_0268_,6.38
u_input_fifo.mem\[2\]\[10\],6.38
_0774_,6.36
data_o[7],6.33
_0995_,6.32
_1435_,6.32
_0267_,6.3
_0325_,6.3
_0425_,6.3
_0642_,6.3
_0798_,6.3
_1043_,6.3
_1076_,6.3
_1087_,6.3
_1343_,6.3
_1505_,6.3
_1554_,6.3
_1560_,6.3
_1606_,6.3
u_input_fifo.mem\[5\]\[1\],6.3
u_input_fifo.mem\[10\]\[0\],6.285
u_input_fifo.mem\[5\]\[12\],6.28
u_input_fifo.mem\[9\]\[3\],6.28
_0524_,6.26
_0632_,6.26
_0845_,6.26
_1443_,6.26
net176,6.26
_0729_,6.2
_0753_,6.2
_1039_,6.2
_1047_,6.2
_1460_,6.2
u_input_fifo.mem\[14\]\[11\],6.2
u_input_fifo.mem\[14\]\[4\],6.2
_0139_,6.185
_0409_,6.18
_1552_,6.18
u_input_fifo.mem\[11\]\[3\],6.155
_0295_,6.14
_0440_,6.14
_0470_,6.14
_0472_,6.14
_0473_,6.14
_0547_,6.14
_0581_,6.14
_0588_,6.14
_0674_,6.14
_0855_,6.14
_0872_,6.14
_0904_,6.14
_1046_,6.14
_1214_,6.14
net121,6.14
net185,6.14
net200,6.14
net232,6.14
net257,6.14
net289,6.14
_1284_,6.12
_0153_,6.085
_1349_,6.085
net358,6.08
u_input_fifo.mem\[9\]\[5\],6.065
_0291_,6.06
_1204_,6.06
_1576_,6.06
net335,6.06
_0803_,6.04
data_o[3],5.99
_1031_,5.98
net123,5.98
_0265_,5.96
net91,5.96
net278,5.96
_1318_,5.94
u_input_fifo.mem\[13\]\[6\],5.94
u_input_fifo.mem\[14\]\[13\],5.94
u_input_fifo.mem\[2\]\[1\],5.94
u_input_fifo.mem\[12\]\[8\],5.92
u_input_fifo.mem\[7\]\[10\],5.92
_0994_,5.91
u_input_fifo.mem\[10\]\[12\],5.9
_0393_,5.84
_0436_,5.84
_0465_,5.84
_0528_,5.84
_0529_,5.84
_0586_,5.84
_0601_,5.84
_0622_,5.84
_0833_,5.84
_0864_,5.84
_1488_,5.84
_1573_,5.84
net90,5.84
net100,5.84
net258,5.84
_0895_,5.82
_0406_,5.8
_0499_,5.8
_0509_,5.8
_0530_,5.8
_0594_,5.8
_0603_,5.8
_0757_,5.8
_0814_,5.8
_0835_,5.8
_0944_,5.8
_1002_,5.8
_1459_,5.8
_1474_,5.8
_1493_,5.8
_1518_,5.8
_1540_,5.8
_1596_,5.8
_1602_,5.8
net196,5.8
net233,5.8
net324,5.8
_0471_,5.74
_0485_,5.74
_0087_,5.725
_0221_,5.725
_0576_,5.72
_0952_,5.72
_1241_,5.72
_1470_,5.72
_1604_,5.72
net108,5.72
net242,5.72
net290,5.72
_0415_,5.68
_0461_,5.68
_0496_,5.68
_0546_,5.68
_0873_,5.68
_0978_,5.68
_0998_,5.68
_1083_,5.68
_1090_,5.68
_1508_,5.68
_1511_,5.68
net113,5.68
net116,5.68
net205,5.68
net256,5.68
net342,5.68
_1437_,5.62
u_input_fifo.rd_data_o\[9\],5.62
net323,5.62
net357,5.62
_0366_,5.6
_1249_,5.6
_1359_,5.6
net139,5.6
_1178_,5.58
net208,5.58
net351,5.58
_0228_,5.575
net96,5.56
net322,5.56
u_input_fifo.mem\[10\]\[13\],5.555
net86,5.52
net276,5.52
_0300_,5.5
u_input_fifo.mem\[3\]\[4\],5.48
_0208_,5.475
_0303_,5.46
u_input_fifo.mem\[11\]\[0\],5.46
_0828_,5.44
_1007_,5.4
_1239_,5.4
_0381_,5.38
_0454_,5.38
_0504_,5.38
_0598_,5.38
_0761_,5.38
_1402_,5.38
net184,5.38
net201,5.38
net288,5.38
net35,5.36
net167,5.36
_0422_,5.34
_0478_,5.34
_0502_,5.34
_0561_,5.34
_0562_,5.34
_0705_,5.34
_0947_,5.34
_1187_,5.34
_1244_,5.34
_1447_,5.34
_1502_,5.34
u_piso.shift_reg\[13\],5.34
net154,5.34
net160,5.34
net162,5.34
net304,5.34
net343,5.34
net349,5.34
net355,5.34
_0918_,5.28
_1037_,5.28
_1506_,5.28
_0123_,5.265
_0186_,5.265
_0234_,5.265
_0541_,5.26
_0579_,5.26
_0764_,5.26
_1080_,5.26
_1084_,5.26
_1562_,5.26
_1571_,5.26
_1599_,5.26
u_input_fifo.mem\[0\]\[12\],5.26
u_input_fifo.mem\[3\]\[3\],5.26
net149,5.26
net156,5.26
net286,5.26
_0489_,5.22
_0508_,5.22
_0521_,5.22
_0595_,5.22
_0629_,5.22
_0875_,5.22
_0966_,5.22
_1088_,5.22
_1451_,5.22
_1490_,5.22
_1558_,5.22
_1583_,5.22
_1614_,5.22
net157,5.22
_0105_,5.16
_1198_,5.16
net178,5.16
net224,5.16
_1243_,5.14
_1304_,5.14
_1315_,5.14
u_input_fifo.mem\[14\]\[14\],5.14
net168,5.14
net182,5.14
net193,5.14
net321,5.14
_1042_,5.12
_1439_,5.12
net105,5.12
net125,5.12
net128,5.12
net177,5.12
net186,5.12
net331,5.12
net348,5.12
_0111_,5.095
_0191_,5.085
_0211_,5.085
data_o[0],5.07
data_o[4],5.07
data_o[5],5.07
valid_o,5.07
_1122_,5.06
_1336_,5.06
_0367_,5.04
_1250_,5.04
_1254_,5.02
net137,5.02
net262,5.02
_1307_,5
_0282_,4.92
_0285_,4.92
_0476_,4.92
_0492_,4.92
_0497_,4.92
_0611_,4.92
_0618_,4.92
_1273_,4.92
_1383_,4.92
_1457_,4.92
net297,4.92
net337,4.92
net360,4.92
_0255_,4.88
_0455_,4.88
_0491_,4.88
_0503_,4.88
_0517_,4.88
_0575_,4.88
_0615_,4.88
_0667_,4.88
_1176_,4.88
_1292_,4.88
_1427_,4.88
_1510_,4.88
_1538_,4.88
_1577_,4.88
_1579_,4.88
_1615_,4.88
u_input_fifo.mem\[13\]\[14\],4.88
net39,4.88
net203,4.88
net228,4.88
net254,4.88
net282,4.88
_0037_,4.845
_0059_,4.845
_0187_,4.845
_0551_,4.82
_0613_,4.82
_1152_,4.82
u_input_fifo.mem\[10\]\[9\],4.82
_0126_,4.805
_0159_,4.805
_1092_,4.8
_1126_,4.8
_1189_,4.8
_1586_,4.8
_1595_,4.8
u_input_fifo.mem\[11\]\[8\],4.8
net133,4.8
net328,4.8
net330,4.8
_0304_,4.765
_0429_,4.76
_0458_,4.76
_0527_,4.76
_0557_,4.76
_0577_,4.76
_0582_,4.76
_0584_,4.76
_0596_,4.76
_0631_,4.76
_1432_,4.76
_1574_,4.76
_1598_,4.76
_1605_,4.76
_1608_,4.76
net101,4.76
net341,4.76
_0236_,4.755
_0992_,4.7
net114,4.7
net127,4.7
_0564_,4.68
_0867_,4.68
_1038_,4.66
_1040_,4.66
_1353_,4.66
_1445_,4.66
net138,4.66
net235,4.66
net246,4.66
net247,4.66
net255,4.66
net291,4.66
_1015_,4.6
_1310_,4.6
_1521_,4.6
net81,4.6
net318,4.6
_0179_,4.585
_0100_,4.58
_0261_,4.58
_0388_,4.58
u_input_fifo.mem\[1\]\[9\],4.565
u_input_fifo.mem\[12\]\[6\],4.56
_0281_,4.54
_1206_,4.54
net136,4.54
_0089_,4.525
_0104_,4.525
_0149_,4.525
_0131_,4.505
_0002_,4.46
_0358_,4.46
_0532_,4.46
_0732_,4.46
_0793_,4.46
_0919_,4.46
_1094_,4.46
net209,4.46
net253,4.46
_0900_,4.44
_0922_,4.44
_0437_,4.42
_0467_,4.42
_0480_,4.42
_0511_,4.42
_0534_,4.42
_0550_,4.42
_0571_,4.42
_0624_,4.42
_1171_,4.42
_1544_,4.42
_1584_,4.42
net229,4.42
net264,4.42
net281,4.42
net315,4.42
_0666_,4.405
_0395_,4.36
_0523_,4.36
_1056_,4.36
_1593_,4.36
_0570_,4.34
_0574_,4.34
_0587_,4.34
_0614_,4.34
_1064_,4.34
_1217_,4.34
_1280_,4.34
_1412_,4.34
_1436_,4.34
_1512_,4.34
net152,4.34
net231,4.34
_0168_,4.265
_0219_,4.265
_0033_,4.24
_0097_,4.24
_0170_,4.24
u_piso.shift_reg\[12\],4.24
net129,4.24
net161,4.24
net206,4.24
net266,4.24
net316,4.24
u_input_fifo.mem\[4\]\[12\],4.22
net110,4.22
net194,4.2
net212,4.2
_0151_,4.165
net230,4.14
net336,4.14
net359,4.14
_0162_,4.125
_0250_,4.12
_0356_,4.12
_1377_,4.12
net80,4.12
_0899_,4.1
_1321_,4.1
_0038_,4.02
_1294_,4.02
_1334_,4.02
_1485_,4.02
_0392_,4
_0397_,4
_0398_,4
_0844_,4
_0954_,4
_1267_,4
_1390_,4
u_input_fifo.mem\[4\]\[2\],4
net169,4
net325,4
_0200_,3.965
_0230_,3.965
_0010_,3.925
_0148_,3.925
_0404_,3.9
_0431_,3.9
_0449_,3.9
_0515_,3.9
_0984_,3.9
_1601_,3.9
_0289_,3.88
_0390_,3.88
_0424_,3.88
_0452_,3.88
_0819_,3.88
_0841_,3.88
_1210_,3.88
_1281_,3.88
_1370_,3.88
_1486_,3.88
_1491_,3.88
_1581_,3.88
net174,3.88
_0113_,3.78
_0233_,3.78
_0237_,3.78
_1208_,3.78
net124,3.78
net134,3.78
net259,3.78
net345,3.78
net117,3.76
net112,3.68
net227,3.68
net350,3.68
net361,3.68
_0253_,3.66
_0410_,3.66
_0858_,3.64
u_input_fifo.mem\[5\]\[3\],3.64
_0036_,3.585
_0331_,3.56
_1394_,3.56
net29,3.56
_0330_,3.54
_0368_,3.54
_0389_,3.54
_0416_,3.54
_0434_,3.54
_0487_,3.54
_0568_,3.54
_0617_,3.54
_0718_,3.54
_0726_,3.54
_0968_,3.54
_1089_,3.54
_1163_,3.54
_1246_,3.54
_1408_,3.54
_1420_,3.54
_1465_,3.54
_1503_,3.54
_1591_,3.54
net84,3.54
net94,3.54
_1135_,3.52
_0052_,3.465
_0081_,3.465
_0107_,3.465
_0143_,3.465
_0197_,3.465
_0444_,3.44
_0447_,3.44
_0545_,3.44
_1346_,3.44
_0442_,3.42
_0516_,3.42
_0593_,3.42
_0915_,3.42
_1101_,3.42
_1224_,3.42
_1326_,3.42
_1424_,3.42
_1448_,3.42
_1501_,3.42
u_input_fifo.mem\[3\]\[0\],3.42
net207,3.42
net219,3.42
net249,3.42
_0999_,3.4
_1116_,3.4
_0057_,3.345
_0106_,3.345
_0117_,3.345
_0173_,3.345
_0190_,3.345
_0192_,3.345
_0314_,3.345
_0049_,3.32
_0318_,3.32
net126,3.32
net250,3.32
net252,3.32
net272,3.32
u_input_fifo.mem\[8\]\[7\],3.305
_1330_,3.3
net135,3.3
_0090_,3.245
_0128_,3.245
_0199_,3.245
_0972_,3.22
_1463_,3.22
_1492_,3.22
net245,3.22
net308,3.22
net314,3.22
_0258_,3.2
_0296_,3.2
_0336_,3.2
_0364_,3.2
_0405_,3.2
_0407_,3.2
net241,3.2
_1332_,3.18
_0309_,3.175
_0110_,3.165
_0125_,3.145
_0205_,3.145
_0132_,3.125
_0184_,3.125
_0938_,3.1
_0959_,3.1
_1129_,3.1
_1375_,3.1
_1422_,3.1
net82,3.1
_0259_,3.08
_0290_,3.08
_0293_,3.08
_0324_,3.08
_0332_,3.08
_0345_,3.08
_0363_,3.08
_0391_,3.08
_0439_,3.08
_0448_,3.08
_0612_,3.08
_0639_,3.08
_0687_,3.08
_0698_,3.08
_0892_,3.08
_1110_,3.08
_1121_,3.08
_1165_,3.08
_1338_,3.08
_1440_,3.08
net199,3.08
net239,3.08
net244,3.08
net248,3.08
_0931_,3.06
_0203_,3.055
_0311_,3.055
_0045_,3.045
_0055_,3.005
_0076_,3.005
_0160_,3.005
_0201_,3.005
_0204_,3.005
_0210_,3.005
_0226_,3.005
_0103_,2.98
_0329_,2.98
_0435_,2.98
_0474_,2.98
_0621_,2.98
_0777_,2.98
_0781_,2.98
_1169_,2.98
_1185_,2.98
_1458_,2.98
_1464_,2.98
_0400_,2.96
_0475_,2.96
_0549_,2.96
_0553_,2.96
_0620_,2.96
_0626_,2.96
_0694_,2.96
_0717_,2.96
_1184_,2.96
_1347_,2.96
_1407_,2.96
_1444_,2.96
_0072_,2.945
_0009_,2.885
_0058_,2.885
_0067_,2.885
_0073_,2.885
_0198_,2.885
_0214_,2.885
_0060_,2.88
_0084_,2.88
_0193_,2.88
_0050_,2.86
_0078_,2.86
_0085_,2.86
_0242_,2.86
_0868_,2.86
_1362_,2.86
net120,2.86
net140,2.86
net153,2.86
net180,2.86
net190,2.86
net191,2.86
net198,2.86
net204,2.86
net210,2.86
net216,2.86
net222,2.86
net238,2.86
net280,2.86
net293,2.86
net294,2.86
_0273_,2.84
_0279_,2.84
_0005_,2.785
_0021_,2.785
_0046_,2.785
_0101_,2.785
_0138_,2.785
_0163_,2.785
_0185_,2.785
_0207_,2.785
_0232_,2.785
_1364_,2.76
_1380_,2.76
net172,2.76
net213,2.76
net243,2.76
net263,2.76
net265,2.76
net268,2.76
net273,2.76
net285,2.76
net305,2.76
net312,2.76
net313,2.76
_0338_,2.74
_0341_,2.74
_0342_,2.74
_0371_,2.74
_1507_,2.74
_0014_,2.715
_0018_,2.715
_0042_,2.715
_0053_,2.715
_0124_,2.715
_0137_,2.715
_0147_,2.715
_0171_,2.715
_0216_,2.715
_0321_,2.715
_0164_,2.705
_0224_,2.705
_0277_,2.64
_0283_,2.64
_0339_,2.64
_0351_,2.64
_0369_,2.64
_0750_,2.64
_0937_,2.64
_1261_,2.64
_1365_,2.64
_0278_,2.62
_0280_,2.62
_0334_,2.62
_0372_,2.62
_0376_,2.62
_0401_,2.62
_0408_,2.62
_0490_,2.62
_0543_,2.62
_0602_,2.62
_0773_,2.62
_0779_,2.62
_0860_,2.62
_1074_,2.62
_1153_,2.62
_1431_,2.62
_1441_,2.62
_1442_,2.62
_1476_,2.62
_1594_,2.62
net93,2.62
net95,2.62
_0083_,2.595
_0094_,2.595
_0108_,2.595
_0154_,2.595
_0319_,2.595
_0008_,2.545
_0013_,2.545
_0017_,2.545
_0051_,2.545
_0068_,2.545
_0070_,2.545
_0079_,2.545
_0098_,2.545
_0102_,2.545
_0135_,2.545
_0144_,2.545
_0152_,2.545
_0158_,2.545
_0180_,2.545
_0316_,2.545
_0688_,2.535
_0456_,2.52
_0531_,2.52
_0533_,2.52
_0849_,2.52
_0869_,2.52
_1025_,2.52
_1032_,2.52
_1049_,2.52
_1183_,2.52
_1453_,2.52
_1499_,2.52
_1519_,2.52
_0484_,2.5
_0535_,2.5
_0556_,2.5
_0619_,2.5
_0949_,2.5
_0960_,2.5
_0964_,2.5
_1159_,2.5
_1179_,2.5
net77,2.5
net83,2.5
_0016_,2.485
_0043_,2.485
_0064_,2.485
_0118_,2.485
_0121_,2.485
_0145_,2.485
_0178_,2.485
_1374_,2.48
_0039_,2.42
_0109_,2.42
_0133_,2.42
_0320_,2.42
_0583_,2.4
_0606_,2.4
_0730_,2.4
_0946_,2.4
_1050_,2.4
_1211_,2.4
_1449_,2.4
net122,2.4
net164,2.4
net179,2.4
net187,2.4
net221,2.4
net300,2.4
net320,2.4
net352,2.4
net356,2.4
_0244_,2.38
_0349_,2.38
_0378_,2.38
_0027_,2.375
_0044_,2.375
_0062_,2.375
_0206_,2.375
_0227_,2.375
_0041_,2.325
_0074_,2.325
_0099_,2.325
_0136_,2.325
_0155_,2.325
_0156_,2.325
_0272_,2.305
_0411_,2.305
_1106_,2.3
_1192_,2.3
_1355_,2.3
net107,2.3
net115,2.3
net118,2.3
net131,2.3
net145,2.3
net147,2.3
net202,2.3
net236,2.3
net284,2.3
_0243_,2.28
_0257_,2.28
_0263_,2.28
_0275_,2.28
_0287_,2.28
_0302_,2.28
_0347_,2.28
_0379_,2.28
_1014_,2.28
net226,2.28
_1223_,2.265
_0003_,2.255
_0022_,2.255
_0031_,2.255
_0095_,2.255
_0127_,2.255
_0202_,2.255
_0251_,2.18
_0254_,2.18
_0256_,2.18
_0260_,2.18
_0262_,2.18
_0264_,2.18
_0274_,2.18
_0286_,2.18
_0292_,2.18
_0297_,2.18
_0344_,2.18
_0352_,2.18
_0353_,2.18
_0357_,2.18
_0359_,2.18
_0382_,2.18
_0385_,2.18
_0386_,2.18
_1017_,2.18
_1322_,2.18
net78,2.18
net237,2.18
_0294_,2.16
_0323_,2.16
_0327_,2.16
_0361_,2.16
_0375_,2.16
_0394_,2.16
_0402_,2.16
_0451_,2.16
_0495_,2.16
_0684_,2.16
_0775_,2.16
_0813_,2.16
_0880_,2.16
_1052_,2.16
_1220_,2.16
_1479_,2.16
_1525_,2.16
net79,2.16
net234,2.16
net283,2.16
_0189_,2.125
_0212_,2.125
_0241_,2.125
_0313_,2.125
_0006_,2.085
_0069_,2.085
_0082_,2.085
_0086_,2.085
_0120_,2.085
_0165_,2.085
_0177_,2.085
_0209_,2.085
_0307_,2.085
_0310_,2.085
_0443_,2.06
_0459_,2.06
_0466_,2.06
_0525_,2.06
_0548_,2.06
_0552_,2.06
_0558_,2.06
_0616_,2.06
_0623_,2.06
_0714_,2.06
_1072_,2.06
_1081_,2.06
_1177_,2.06
_1430_,2.06
_1466_,2.06
_1489_,2.06
_1509_,2.06
_1514_,2.06
_1585_,2.06
_1612_,2.06
_1613_,2.06
_0326_,2.04
_0328_,2.04
_0599_,2.04
_0737_,2.04
_1342_,2.04
_1405_,2.04
net104,2.04
_0146_,2.035
_0188_,2.035
_0011_,2.025
_0024_,2.025
_0034_,2.025
_0047_,2.025
_0048_,2.025
_0061_,2.025
_0066_,2.025
_0088_,2.025
_0142_,2.025
_0166_,2.025
_0183_,2.025
_0217_,2.025
_0220_,2.025
_0231_,2.025
_0235_,2.025
_0239_,2.025
_0308_,2.025
_0312_,2.025
_0322_,2.025
_0948_,1.94
_0967_,1.94
_1236_,1.94
net132,1.94
net142,1.94
net151,1.94
net181,1.94
net214,1.94
net267,1.94
net319,1.94
net338,1.94
net346,1.94
u_viterbi_core.pm_curr_s3\[5\],1.93
_0020_,1.915
_0071_,1.915
_0161_,1.915
_0222_,1.915
_0012_,1.865
_0015_,1.865
_0023_,1.865
_0025_,1.865
_0026_,1.865
_0030_,1.865
_0032_,1.865
_0040_,1.865
_0054_,1.865
_0065_,1.865
_0075_,1.865
_0091_,1.865
_0093_,1.865
_0134_,1.865
_0141_,1.865
_0174_,1.865
_0176_,1.865
_0182_,1.865
_0196_,1.865
_0213_,1.865
_0315_,1.865
_0741_,1.84
_1023_,1.84
_1100_,1.84
_1108_,1.84
_1202_,1.84
_1237_,1.84
_1271_,1.84
_1313_,1.84
_1328_,1.84
_1337_,1.84
net87,1.84
net144,1.84
net146,1.84
net148,1.84
net150,1.84
net155,1.84
net158,1.84
net159,1.84
net166,1.84
net170,1.84
net171,1.84
net173,1.84
net175,1.84
net188,1.84
net189,1.84
net197,1.84
net211,1.84
net215,1.84
net223,1.84
net240,1.84
net261,1.84
net275,1.84
net292,1.84
net298,1.84
net301,1.84
net303,1.84
net309,1.84
net310,1.84
net311,1.84
net326,1.84
net329,1.84
net333,1.84
net334,1.84
net339,1.84
net340,1.84
net344,1.84
net353,1.84
net354,1.84
_0276_,1.82
_0299_,1.82
_0335_,1.82
_1099_,1.82
_0638_,1.72
_0905_,1.72
_0920_,1.72
_1414_,1.72
net102,1.72
_0248_,1.7
_0266_,1.7
_0269_,1.7
_0284_,1.7
_0298_,1.7
_0333_,1.7
_0337_,1.7
_0340_,1.7
_0360_,1.7
_0362_,1.7
_0373_,1.7
_0384_,1.7
_0403_,1.7
_0460_,1.7
_0498_,1.7
_0510_,1.7
_1157_,1.7
_1195_,1.7
_1300_,1.7
_1529_,1.7
net88,1.7
net195,1.7
net279,1.7
_0457_,1.6
_0462_,1.6
_0507_,1.6
_0544_,1.6
_0559_,1.6
_0580_,1.6
_0589_,1.6
_0597_,1.6
_0604_,1.6
_1468_,1.6
_1496_,1.6
_1548_,1.6
_0004_,1.575
_0028_,1.575
_0112_,1.575
_0114_,1.575
_0130_,1.575
_0140_,1.575
_0175_,1.575
_0194_,1.575
_0218_,1.575
_0933_,1.575
_0370_,1.545
_0387_,1.545
_0520_,1.48
_1174_,1.48
_1229_,1.48
_1252_,1.48
net251,1.48
net271,1.48
net307,1.48
net332,1.48
net347,1.48
_0007_,1.405
_0063_,1.405
_0092_,1.405
_0122_,1.405
_0150_,1.405
_0157_,1.405
_0167_,1.405
_0169_,1.405
_0181_,1.405
_0225_,1.405
_0866_,1.38
_1061_,1.38
_1069_,1.38
_1226_,1.38
_1295_,1.38
_1297_,1.38
_1372_,1.38
net98,1.38
_0288_,1.36
_0305_,1.36
_0343_,1.36
_0350_,1.36
_0365_,1.36
_0374_,1.36
_0383_,1.36
_0412_,1.36
_1320_,1.36
_0413_,1.26
_0783_,1.26
_1483_,1.26
_0418_,1.14
_0423_,1.14
_0430_,1.14
_0433_,1.14
_0450_,1.14
_0486_,1.14
_0493_,1.14
_0494_,1.14
_0505_,1.14
_0512_,1.14
_0540_,1.14
_0542_,1.14
_0565_,1.14
_0566_,1.14
_0578_,1.14
_0607_,1.14
_0625_,1.14
_0822_,1.14
_0962_,1.14
_0990_,1.14
_1045_,1.14
_1082_,1.14
_1085_,1.14
_1091_,1.14
_1127_,1.14
_1167_,1.14
_1173_,1.14
_1175_,1.14
_1287_,1.14
_1434_,1.14
_1446_,1.14
_1462_,1.14
_1515_,1.14
_1516_,1.14
_1517_,1.14
_1520_,1.14
_1536_,1.14
_1542_,1.14
_1546_,1.14
_1564_,1.14
_1572_,1.14
_1575_,1.14
_1578_,1.14
_1582_,1.14
_1592_,1.14
_0961_,1.02
_1255_,1.02
_1356_,1.02
_1469_,1.02
net165,1.02
net277,1.02
net296,1.02
_0695_,0.92
_1113_,0.92
_0711_,0.86
_1197_,0.8
_0628_,0.46
_0939_,0.46
_0997_,0.46
_1118_,0.46
_1481_,0.46
net109,0.46
